Date,Close,High,Low,Open,Volume,momentum_5,mean_rev_10,vol_10,bb_upper_20,bb_lower_20,bb_mid_20,ema_20,rsi_14
2018-01-02,0.0271325499440341,0.023565069482156,0.0249307855069794,0.0231958479451847,0.1958684303253881,,,,,,,0.0271325499440341,
2018-01-03,0.0271034239992405,0.0257387773123191,0.0276096058460928,0.0254846891109214,0.2351666467051168,,,,,,,0.02712977604452995,
2018-01-04,0.0278804428219417,0.0246954044520104,0.0277286622211944,0.0254943448124702,0.1649089344177538,,,,,,,0.027201268118569166,
2018-01-05,0.0297938481131814,0.0265309760993272,0.0286910574601506,0.0263635425916855,0.177063410528738,,,,,,,0.027448180499008427,
2018-01-08,0.0291625381180462,0.026762849127239,0.0295641435460005,0.0272423883085072,0.1463925511926964,,,,,,,0.0276114526532025,
2018-01-09,0.0291430944536512,0.0262314837569208,0.0290482234213764,0.027435521898227,0.1564720179986227,0.07410083142808999,,,,,,0.027757323300864282,
2018-01-10,0.0291042229455806,0.02549724995016,0.0286414266671195,0.0260931129545132,0.1800380534091723,0.07382089238600131,,,,,,0.02788559945750393,
2018-01-11,0.0300657904624791,0.0266469058748649,0.0301197409329213,0.0274741423403253,0.1275458725094247,0.07838281674699754,,,,,,0.028093236696072995,
2018-01-12,0.0318237571835954,0.0284534636522039,0.0312705984857701,0.029009665362106,0.1945016220928978,0.06813181911590416,,,,,,0.02844852436155132,
2018-01-16,0.030949678246115,0.0304146746908342,0.0317568110880887,0.0306708161498345,0.2356427482665067,0.06128205030833356,0.0017337436173284794,0.0015445320035854446,,,,0.028686729493414526,
2018-01-17,0.033776018162186,0.030279376514584,0.0306951746466424,0.0289807019161984,0.2834602069603568,0.15897157784335292,0.0038957367115842884,0.0019296089149317764,,,,0.029171423652345145,
2018-01-18,0.0339314250908702,0.0311005725273751,0.0338502111804252,0.0320904440926265,0.2517855668323847,0.1658591660157207,0.0033683435311055235,0.0020425795966929126,,,,0.029624757122680867,
2018-01-19,0.0331544220888886,0.0305982003630213,0.033016808648615,0.0313564744254715,0.2640025312733014,0.10272910104472355,0.0020639426024292307,0.0019518137459191033,,,,0.029960915690891127,
